연번,도로명주소,상세위치
후암동-1,서울특별시 용산구 두텁바위로1길107,행남팰리스 앞 상업지역 및 골목길 4거리 
후암동-2,서울특별시 용산구 후암로13가길22,백합빌라 앞 도로변 및 쓰레기 수거지역
후암동-3,서울특별시 용산구 후암로28길 57,에지앙 담장 전신주 옆
후암동-4,서울특별시 용산구 한강대로104길 67,후암시장(구 풍년순댓국 앞) 골목4거리 
후암동-5,서울특별시 용산구 후암로4길25,지월장 옆 전신주
후암동-6,서울특별시 용산구 후암로40길3,거주자주차구역 전신주 옆 ? 
후암동-7,서울특별시 용산구 후암로34길 11,파크빌 앞 전신주 옆
후암동-8,서울특별시 용산구 후암로16길 15,용산더힐 빌라 앞 전신주 옆
후암동-9,서울특별시 용산구 두텁바위로37길 13,골목길 삼거리 전신주
후암동-10,서울특별시 용산구 소월로2나길 19,좁은골목길 전신주 옆
후암동-11,서울특별시 용산구 두텁바위로38길 34,남일상회 앞 골목길구석
후암동-12,서울특별시 용산구 두텁바위로116,맞은편 새말교 도로변
후암동-13,서울특별시 용산구 두텁바위로113,도로변
후암동-14,서울특별시 용산구 두텁바위로104,윗편 도닥다리 도로변
후암동-15,서울특별시 용산구 후암로 66,동성한의원 옆 건물
후암동-16,서울특별시 용산구 후암로35,백합의원 앞
후암동-17,서울특별시 용산구 후암로 41,푸른약국 앞
후암동-18,서울특별시 용산구 후암로5길 5,타워빌 옆 공터
후암동-19,서울특별시 용산구 두텁바위로58길 7-6,장우오피스텔 입구 옆
후암동-20,서울특별시 용산구 한강대로98다길 17,골목길 공터
후암동-21,서울특별시 용산구 한강대로102다길 31-7,한아름빌리지 주차장 입구 맞은편
용산2가동-1,서울특별시 용산구 신흥로22길 15,"해오름빌 후문 담장앞, 전신주옆,  주거밀집 지역"
용산2가동-2,서울특별시 용산구 소월로26길 17,"옆 남산교회 뒤 전신주옆,  주거밀집 지역"
용산2가동-3,서울특별시 용산구 녹사평대로 60길 17,맞은편 녹지대 주거밀집 지역
용산2가동-4,서울특별시 용산구 신흥로12길7,"남산3호터널 지하보도입구 옆, 담장 앞, 주거 상업밀집 지역"
용산2가동-5,서울특별시 용산구 신흥로9길 15-11,하임빌 맞은편 주거밀집지역
용산2가동-6,서울특별시 용산구 신흥로22가길 27,"동부세탁소 옆 전신주옆,  주거밀집 지역"
용산2가동-7,서울특별시 용산구 용산구 신흥로 31-13,"동광빌라 앞 전신주옆,  주거밀집 지역"
용산2가동-8,서울특별시 용산구 신흥로120,신흥교회 뒤편 담장 주거밀집지역
용산2가동-9,서울특별시 용산구 신흥로25가길 4-2,"맞은편 신흥경로당 뒤 담장 앞, 주거밀집지역"
용산2가동-10,서울특별시 용산구 신흥로140,"대지부동산 옆 담장 앞, 주거밀집지역"
용산2가동-11,서울특별시 용산구 신흥로45,맞은편 용암한신아파트 화단 상업지역
용산2가동-12,서울특별시 용산구 소월로30길 31,"맞은편 11통입구 화단 앞, 주거밀집역"
용산2가동-13,서울특별시 용산구 신흥로20길19,"복된부동산 옆 담장 앞, 주거밀집지역"
용산2가동-14,서울특별시 용산구 신흥로3길 27,"원우빌리지 앞 전신주옆,  경사지, 주거밀집 지역"
용산2가동-15,서울특별시 용산구 신흥로25가길 14,"주거밀집지역, 좁은골목지역"
용산2가동-16,서울특별시 용산구 신흥로30길 12,주거밀집지역
용산2가동-17,서울특별시 용산구 신흥로3가길 38,"전신주옆, 담장 앞, 주거밀집지역, 외국인다수거주"
용산2가동-18,서울특별시 용산구 신흥로60,"신흥로 옆, 주거 상업밀집지역"
용산2가동-19,서울특별시 용산구 신흥로7길 19-11,"담장앞, 전신주옆, 주거밀집지역"
용산2가동-20,서울특별시 용산구 신흥로11나길 2-4,"담장앞, 주거밀집지역"
용산2가동-21,서울특별시 용산구 신흥로125,"담장앞, 주거밀집지역"
용산2가동-22,서울특별시 용산구 신흥로3나길 19-3,"전신주옆, 주거밀집지역"
용산2가동-23,서울특별시 용산구 신흥로15길 18-8,"담장앞, 전신주옆,  주거밀집 지역"
용산2가동-24,서울특별시 용산구 소월로20길 37,주거상업 밀집지역
용산2가동-25,서울특별시 용산구 소월로20길 60,"담장앞, 경사지, 주거상업밀집지역"
용산2가동-26,서울특별시 용산구 신흥로3가길 36,"담장옆, 주거밀집지역"
용산2가동-27,서울특별시 용산구 소월로30길 14,"경사지, 주거밀집지역"
용산2가동-28,서울특별시 용산구 신흥로82,"전신주옆, 주거상업밀집지역"
용산2가동-29,서울특별시 용산구 신흥로9길 21,주거상업밀집지역
용산2가동-30,서울특별시 용산구 신흥로35,상업밀집지역
남영동-1,서울특별시 용산구 한강대로88길 6(남영동 29-9),쓰레기 수거 거점지역
남영동-2,서울특별시 용산구 한강대로80길 11-17(남영동 70-2),쓰레기 수거 거점지역
남영동-3,서울특별시 용산구 한강대로76길 18(남영동 108-17),쓰레기 수거 거점지역
남영동-4,서울특별시 용산구 두텁바위로5길 3 (갈월동 59-14),전주
남영동-5,서울특별시 용산구 한강대로 293(갈월동 69-45),서부약국옆
남영동-6,서울특별시 용산구 한강대로92길 20(갈월동 34-15),쓰레기 수거 거점지역
남영동-7,서울특별시 용산구 한강대로96길 20-12(갈월동 11-10),쓰레기 수거 거점지역
남영동-8,서울특별시 용산구 한강대로96길 12(갈월동 7-144),전주
남영동-9,서울특별시 용산구 한강대로98가길 12(갈월동 7-40),전주
남영동-10,서울특별시 용산구 한강대로100길 13(갈월동 5-28),전주
남영동-11,서울특별시 용산구 한강대로104가길 4(동자동 24-6),쓰레기 수거 거점지역
남영동-12,서울특별시 용산구 한강대로104길 35(동자동 19-52),쓰레기 수거 거점지역
남영동-13,서울특별시 용산구 한강대로104길 51(동자동 19-40앞),전주
남영동-14,서울특별시 용산구 한강대로104마길 43(동자동 19-87),쓰레기 수거 거점지역
남영동-15,서울특별시 용산구 후암로57길 17-24(동자동 7-13앞),쓰레기 수거 거점지역
남영동-16,서울특별시 용산구 후암로49길 24(동자동 7-29 앞),전주
남영동-17,서울특별시 용산구 후암로57길 26 (동자동 17-3),쓰레기 수거 거점지역
남영동-18,서울특별시 용산구 후암로 91-20(동자동 9-21),쓰레기 수거 거점지역
남영동-19,서울특별시 용산구 후암로 91-1 (동자동 5-2),쓰레기 수거 거점지역
남영동-20,서울특별시 용산구 두텁바위로13(갈월동53-19),전주
남영동-21,서울특별시 용산구 한강대로87길11(갈월동69-68),지하철 굴다리
남영동-22,서울특별시 용산구 한강대로84길11-29(남영동30-2),전주
남영동-23,서울특별시 용산구 한강대로388(동자동14-19 서울역12번출구),쓰레기 거점지역
남영동-24,서울특별시 용산구 후암로57길55(동자동35-14),쓰레기 거점지역
청파동-1,서울특별시 용산구 만리재로36길 9,인근 골목 쓰레기 수거 거점지역
청파동-2,서울특별시 용산구 청파로89길 35,"전신주 옆, 주거밀집지역"
청파동-3,서울특별시 용산구 청파로73길 91,좁은 언덕길 입구
청파동-4,서울특별시 용산구 청파로73길 62,주거밀집지역 골목길 및 계단길 초입
청파동-5,서울특별시 용산구 청파로 349,"전봇대, 대로변, 골목길 입구"
청파동-6,서울특별시 용산구 만리재로24길 19-4,주거밀집지역 골목길 및 계단길 초입
청파동-7,서울특별시 용산구 효창원로104길 25,"전봇대, 쓰레기 수거 거점지역, 골목길, 언덕길"
청파동-8,서울특별시 용산구 청파로73길 25,"쓰레기 수거 거점지역, 골목길"
청파동-9,서울특별시 용산구 청파로71길 23,빌라 밀집지역
청파동-10,서울특별시 용산구 효창원로94길 15,"쓰레기 수거 거점지역, 골목길"
청파동-11,서울특별시 용산구 효창원로94길 21,"쓰레기 수거 거점지역, 골목길"
